,HOSTNAME,SERIAL,IP ADDRESS,,LOCATION,,,
,DAYRECLB02 ,2BH03161 ,,DAYRECLB02 ,,Advanced Printer Configuration ,,
,DAYTONLC01 ,2XW03728 ,,DAYTONLC01 ,,Advanced Printer Configuration ,,
,DAYTONLC02 ,,,DAYTONLC02 ,,Advanced Printer Configuration ,,
,DAYTONLC03 ,,,DAYTONLC03 ,,Advanced Printer Configuration ,,
,DAYWAGLB02 ,2BH02833 ,,DAYWAGLB02 ,,Advanced Printer Configuration ,,
,DAYWAGLC01 ,XTD07732 ,,DAYWAGLC01 ,,Advanced Printer Configuration ,,
,DELCOLB01 ,2BH07157 ,,DELCOLB01 ,,Advanced Printer Configuration ,,
,ELMWDLB01 ,2BH03206 ,,ELMWDLB01 ,,Advanced Printer Configuration ,,
,FINDOHLC02 ,XTD09235 ,,FINDOHLC02 ,,Advanced Printer Configuration ,,
,FLEETLB02 ,XWH05298 ,,FLEETLB02 ,,Advanced Printer Configuration ,,
,FRNKOLC02 ,,,FRNKOLC02 ,,Advanced Printer Configuration ,,
,FRNKOLC03 ,2UL12807 ,,FRNKOLC03 ,,Advanced Printer Configuration ,,
,GARRALC01 ,3FY03561 ,,GARRALC01 ,,Advanced Printer Configuration ,,
,GARRTRLB01 ,,,GARRTRLB01 ,,Secure Print - Output Print... ,,
,GEOTWNLB01 ,3GA02419 ,,GEOTWNLB01 ,,Advanced Printer Configuration ,,
,GEOTWNLB03 ,3NQ01854 ,,GEOTWNLB03 ,,Advanced Printer Configuration ,,
,GEOTWNLB04 ,3LN01615 ,,GEOTWNLB04 ,,Advanced Printer Configuration ,,
,GEOTWNLB05 ,2BH03217 ,,GEOTWNLB05 ,,Advanced Printer Configuration ,,
,GEOTWNLC02 ,XTD08264 ,,GEOTWNLC02 ,,Advanced Printer Configuration ,,
,GRNCOTRLC01 ,2UL12835 ,,GRNCOTRLC01 ,,Advanced Printer Configuration ,,
,GRNVLLB02 ,,,GRNVLLB02 ,,Advanced Printer Configuration ,,
,GRNVLLB03 ,,,GRNVLLB03 ,,Advanced Printer Configuration ,,
,GRNVLLB04 ,,,GRNVLLB04 ,,Advanced Printer Configuration ,,
,GRNVLLC01 ,3PH00652 ,,GRNVLLC01 ,,Advanced Printer Configuration ,,
,HARDINLB01 ,4AF01591 ,,HARDINLB01 ,,Advanced Printer Configuration ,,
,HARVRDLC01 ,,,HARVRDLC01 ,,Advanced Printer Configuration ,,
,HQ1STLC01 ,2XW03751 ,,HQ1STLC01 ,,Advanced Printer Configuration ,,
,HQ1STLC02 ,XTD07696 ,,HQ1STLC02 ,,Advanced Printer Configuration ,,
,HQ1STLC03 ,2XK02558 ,,HQ1STLC03 ,,Advanced Printer Configuration ,,
,HQ1STLC05 ,3LJ00746 ,,HQ1STLC05 ,,Advanced Printer Configuration ,,
,HQ2NDLC02 ,XTZ06383 ,,HQ2NDLC02 ,,Advanced Printer Configuration ,,
,HQ2NDLC03 ,2XK02565 ,,HQ2NDLC03 ,,Advanced Printer Configuration ,,
,HQ2NDLC04 ,3KT01600 ,,HQ2NDLC04 ,,Advanced Printer Configuration ,,
,HQ2NDLC05 ,XUW12048 ,,HQ2NDLC05 ,,Advanced Printer Configuration ,,
,HQ2NDLC06 ,3PH00853 ,,HQ2NDLC06 ,,Advanced Printer Configuration ,,
,HQ2NDLC07 ,XTZ06324 ,,HQ2NDLC07 ,,Advanced Printer Configuration ,,
,HQ3RDLC01 ,XTD09127 ,,HQ3RDLC01 ,,Advanced Printer Configuration ,,
,HQ3RDLC02 ,3KT01510 ,,HQ3RDLC02 ,,Advanced Printer Configuration ,,
,HQ3RDLC03 ,XUG10456 ,,HQ3RDLC03 ,,Advanced Printer Configuration ,,
,HUGHESLC02 ,3PH00850 ,,HUGHESLC02 ,,Advanced Printer Configuration ,,
,HUGHESLC04 ,2KJ10183 ,,HUGHESLC04 ,,Advanced Printer Configuration ,,
,HUGHESLC05 ,2GU05231 ,,HUGHESLC05 ,,Advanced Printer Configuration ,,
,HUGHESLC06 ,2GH14514 ,,HUGHESLC06 ,,Advanced Printer Configuration ,,
,HYDRALB01 ,3NQ01866 ,,HYDRALB01 ,,Advanced Printer Configuration ,,
,IESCLC01 ,XTD09225 ,,IESCLC01 ,,Advanced Printer Configuration ,,
,IESCLC02 ,XTD09222 ,,IESCLC02 ,,Advanced Printer Configuration ,,
,KNOTCOLB01 ,2BH03144 ,,KNOTCOLB01 ,,Advanced Printer Configuration ,,
,KNOTOFLB01 ,2BH07194 ,,KNOTOFLB01 ,,Advanced Printer Configuration ,,
,KNOTTRLB01 ,,,KNOTTRLB01 ,,Advanced Printer Configuration ,,
,LAKECOLFLC02 ,3GA08773 ,,LAKECOLFLC02 ,,Advanced Printer Configuration ,,
,LESLIELB01 ,,,LESLIELB01 ,,Secure Print - Output Print... ,,
,LEXRECLB01 ,26H03490 ,,LEXRECLB01 ,,Advanced Printer Configuration ,,
,LIMALB01 ,2MV05465 ,,LIMALB01 ,,Advanced Printer Configuration ,,
,LIMALC03 ,3GA02300 ,,LIMALC03 ,,Advanced Printer Configuration ,,
,LIMATRLB01 ,2BH04291 ,,LIMATRLB01 ,,Advanced Printer Configuration ,,
,LOUISVLB01 ,3GA05742 ,,LOUISVLB01 ,,Advanced Printer Configuration ,,
,LOUISVLB02 ,,,LOUISVLB02 ,,Advanced Printer Configuration ,,
,LOUISVLB04 ,,,LOUISVLB04 ,,Advanced Printer Configuration ,,
,LOUISVLB05 ,,,LOUISVLB05 ,,Advanced Printer Configuration ,,
,LOUISVLB06 ,2BH03261 ,,LOUISVLB06 ,,Advanced Printer Configuration ,,
,louisvlb07 ,,,louisvlb07 ,,Secure Print - Output Print... ,,
,LOUISVLC03 ,3FY06249 ,,LOUISVLC03 ,,Advanced Printer Configuration ,,
,MacSecurePrint ,,,MacSecurePrint ,,Secure Print - Input Printer ,,
,MAGOFFLB01 ,,,MAGOFFLB01 ,,Advanced Printer Configuration ,,
,MANSFDLB01 ,XTK14274 ,,MANSFDLB01 ,,Advanced Printer Configuration ,,
,MANSFDLC02 ,2YJ07023 ,,MANSFDLC02 ,,Advanced Printer Configuration ,,
,MANSLFLB01 ,3NQ01275 ,,MANSLFLB01 ,,Advanced Printer Configuration ,,
,MANSLFLB02 ,,,MANSLFLB02 ,,Advanced Printer Configuration ,,
,MANSTRLB01 ,2AD03167 ,,MANSTRLB01 ,,Advanced Printer Configuration ,,
,MEDIOHLC02 ,2GH07236 ,,MEDIOHLC02 ,,Advanced Printer Configuration ,,
,MEDORALB01 ,XTD07747 ,,MEDORALB01 ,,Advanced Printer Configuration ,,
,MEDORALB02 ,,,MEDORALB02 ,,Advanced Printer Configuration ,,
,MEDORALB03 ,25J00743 ,,MEDORALB03 ,,Advanced Printer Configuration ,,
,MobilePrint ,,,MobilePrint ,,Advanced Printer Configuration ,,
,MTSTHLLB01 ,2XW07254 ,,MTSTHLLB01 ,,Advanced Printer Configuration ,,
,MTSTHLLB02 ,,,MTSTHLLB02 ,,Advanced Printer Configuration ,,
,MTSTLFLB01 ,XTD09133 ,,MTSTLFLB01 ,,Advanced Printer Configuration ,,
,MTSTLFLB02 ,2BH03094 ,,MTSTLFLB02 ,,Advanced Printer Configuration ,,
,NORWDLB01 ,3NQ01859 ,,NORWDLB01 ,,Advanced Printer Configuration ,,
,NORWDLB02 ,3NQ00796 ,,NORWDLB02 ,,Advanced Printer Configuration ,,
,OHVALLB01 ,3NQ00775 ,,OHVALLB01 ,,Advanced Printer Configuration ,,
,OHVALLB02 ,,,OHVALLB02 ,,Advanced Printer Configuration ,,
,OHVALLB03 ,,,OHVALLB03 ,,Advanced Printer Configuration ,,
,OHVALLC03 ,XTD09091 ,,OHVALLC03 ,,Advanced Printer Configuration ,,
,ORCOLC01 ,3CE01443 ,,ORCOLC01 ,,Advanced Printer Configuration ,,
,PIKECOL01 ,XWH05302 ,,PIKECOL01 ,,Advanced Printer Configuration ,,
,PIKECOL02 ,2YJ07020 ,,PIKECOL02 ,,Advanced Printer Configuration ,,
,PIKECOL03 ,3FY02845 ,,PIKECOL03 ,,Advanced Printer Configuration ,,
,PIKECOLB03 ,2BH03184 ,,PIKECOLB03 ,,Advanced Printer Configuration ,,
,PURCHLB01 ,2UL12648 ,,PURCHLB01 ,,Advanced Printer Configuration ,,
,PURCHLC01 ,XTZ06705 ,,PURCHLC01 ,,Advanced Printer Configuration ,,
,RCHMDLB01 ,2BH03090 ,,RCHMDLB01 ,,Advanced Printer Configuration ,,
,SCCOTRLB02 ,,,SCCOTRLB02 ,,Advanced Printer Configuration ,,
,SCCOTRLB03 ,37S00884 ,,SCCOTRLB03 ,,Advanced Printer Configuration ,,
,SecurePrint_Internal ,,,SecurePrint_Internal ,,Secure Print - Input Printer ,,
,SPRGFDLB01 ,2BH03148 ,,SPRGFDLB01 ,,Advanced Printer Configuration ,,
,SR43HLLB02 ,,,SR43HLLB02 ,,Advanced Printer Configuration ,,
,STBERNLB02 ,3LN01488 ,,STBERNLB02 ,,Advanced Printer Configuration ,,
,STBERNLB03 ,2BH03179 ,,STBERNLB03 ,,Advanced Printer Configuration ,,
,STBERNLC01 ,XTD09231 ,,STBERNLC01 ,,Advanced Printer Configuration ,,
,STBERNLC04 ,3KG03609 ,,STBERNLC04 ,,Advanced Printer Configuration ,,
,test ,,,test ,,Secure Print - Input Printer ,,
,TSHREDLB01 ,2BH04910 ,,TSHREDLB01 ,,Advanced Printer Configuration ,,
,,,,,,,,
,,,,,,,,
